Fighter,Wins,WinsByKO,WinsBySubmission,WinsByDecision,Losses,HeightCms,ReachCms,AvgSigStrLanded,AvgTDLanded,AvgSigStrPct,AvgSubAtt,Stance,WeightLbs,Age,KoPct,SubPct,DecPct,AvgRounds,Elo,OpponentElo,SigStrAbsorbed,CurrentWinStreak,FinishL5,LossesByKO,LossesBySub,LossesByDec,WinPct,TotalRoundsFought
Jonathan Martinez,10,4,0,6,4,172.72,177.8,4.44,0.38,0.49,0.1,Southpaw,135,30,0.4,0.0,0.6,2.7857142857142856,1592.3925396174484,1516.579254527363,3.76,0,2.0,1.0,0.0,2.0,0.7142857142857143,39
Marcus McGhee,3,2,1,0,0,172.72,175.26,6.06,0.46,0.48,0.5,Orthodox,135,34,0.6666666666666666,0.3333333333333333,0.0,1.6666666666666667,1547.2392730836414,1508.1590156619727,1.81,3,5.0,0.0,0.0,0.0,1.0,5
Jim Miller,26,6,12,8,17,172.72,180.34,2.99,1.52,0.42,1.7,Southpaw,155,41,0.2307692307692307,0.4615384615384615,0.3076923076923077,2.302325581395349,1528.6980701910516,1499.4602935358926,3.08,0,5.0,0.0,0.0,5.0,0.6046511627906976,99
Damon Jackson,6,1,2,3,5,180.34,180.34,2.96,2.3,0.42,1.2,Switch,155,36,0.1666666666666666,0.3333333333333333,0.5,2.727272727272727,1510.743714052899,1510.9521824166438,3.46,0,2.0,2.0,0.0,2.0,0.5454545454545454,30
Marcin Tybura,12,4,1,7,8,190.5,198.12,3.57,1.42,0.49,0.1,Orthodox,249,39,0.3333333333333333,0.0833333333333333,0.5833333333333334,2.45,1549.8792843195629,1522.8543647786437,3.35,0,4.0,2.0,1.0,1.0,0.6,49
Jhonata Diniz,3,2,0,1,0,193.04,200.66,3.36,0.0,0.53,0.0,Orthodox,254,33,0.6666666666666666,0.0,0.3333333333333333,2.0,1534.946653951909,1524.639969641143,7.38,3,2.5,0.0,0.0,0.0,1.0,6
Mickey Gall,6,0,5,1,6,187.96,187.96,3.5,1.15,0.49,1.6,Switch,170,32,0.0,0.8333333333333334,0.1666666666666666,2.0,1462.5536965045656,1495.907446483086,4.25,0,2.5,1.0,0.0,3.0,0.5,24
Ramiz Brahimaj,2,0,2,0,3,177.8,182.88,2.26,1.51,0.44,1.5,Orthodox,170,31,0.0,1.0,0.0,2.2,1475.2305341819715,1485.5475263018743,4.08,0,5.0,1.0,0.0,2.0,0.4,11
Bassil Hafez,1,0,0,1,1,180.34,182.88,3.71,2.21,0.38,0.0,Orthodox,170,32,0.0,0.0,1.0,3.0,1505.8652524556087,1519.3253804464612,5.53,1,0.0,0.0,0.0,1.0,0.5,6
Oban Elliott,3,0,0,3,0,182.88,182.88,4.26,2.16,0.49,0.0,Orthodox,170,26,0.0,0.0,1.0,3.0,1528.7573816303864,1497.0753860227112,2.8,3,0.0,0.0,0.0,0.0,1.0,9
Neil Magny,22,6,2,14,11,190.5,203.2,3.43,2.12,0.46,0.2,Orthodox,170,37,0.2727272727272727,0.0909090909090909,0.6363636363636364,2.6666666666666665,1532.3794831210698,1534.502168096946,2.4,0,2.0,1.0,2.0,2.0,0.6666666666666666,88
Carlos Prates,4,4,0,0,0,185.42,198.12,4.39,0.44,0.57,0.0,Switch,170,31,1.0,0.0,0.0,1.75,1559.9282797133335,1523.096887765024,3.69,4,5.0,0.0,0.0,0.0,1.0,7
Gaston Bolanos,1,0,0,1,1,170.18,175.26,3.74,0.78,0.5,0.0,Orthodox,135,32,0.0,0.0,1.0,2.5,1495.2582242803044,1505.3172075860325,1.13,0,0.0,1.0,0.0,0.0,0.5,5
Cortavious Romious,1,0,0,1,1,162.56,172.72,2.1,1.97,0.37,1.0,Southpaw,135,30,0.0,0.0,1.0,2.0,1500.0,1495.2582242803044,20.69,1,0.0,0.0,0.0,0.0,0.5,4
Luana Pinheiro,4,1,0,2,2,157.48,157.48,3.42,1.8,0.4,0.2,Orthodox,115,31,0.25,0.0,0.5,2.1666666666666665,1500.6000186645024,1500.320990921142,4.38,0,1.6666666666666667,1.0,1.0,0.0,0.6666666666666666,13
Gillian Robertson,11,2,7,2,6,165.1,160.02,2.89,2.68,0.48,1.0,Orthodox,115,29,0.1818181818181818,0.6363636363636364,0.1818181818181818,2.176470588235294,1538.7391891839038,1508.7082065968048,3.21,2,4.0,1.0,0.0,4.0,0.6470588235294118,37
Brandon Moreno,9,3,3,3,5,170.18,177.8,3.99,1.59,0.43,0.4,Orthodox,125,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.7857142857142856,1552.8079827976812,1539.228652183515,3.4,0,4.0,0.0,0.0,3.0,0.6428571428571429,53
