RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Gilbert Burns,Michael Morales,Blue,Michael Morales,Welterweight,MALE,KO/TKO,Punches,15,3,5,7,8,6,3,0,3,0,177.8,182.88,180.34,200.66,3.15,2.12,0.48,0.5,5.62,1.09,0.49,0.0,Orthodox,Orthodox,170,38,-6,9,8,0,5,4,-5.079999999999984,-20.319999999999993,13,-2.47,-0.010000000000000009,1.03,0.5,3,1,8.77,0.485,0.2,0.5,0.3333333333333333,0.0,0.4666666666666667,0.5,2.6956521739130435,2.3333333333333335,-0.3,0.3333333333333333,-0.033333333333333326,0.36231884057971,17,1516.2778128504651,1587.8837814617573,-71.60596861129216,1533.3946213919864,1526.528591901828,6.866029490158553,3.34,3.6,-0.26000000000000023,0.033333333333333326,6.9399999999999995,0.35,0.16666666666666666,0.48333333333333334,31.5,3.0,0,6,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,25,-1.0,-0.34782608695652173,1.0,0.6521739130434783,2.0,0.0,3.0,170,62,14,360.0,-475.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Sodiq Yusuff,Mairon Santos,Blue,Mairon Santos,Lightweight,MALE,DEC,No Finish,7,2,1,4,3,2,1,0,1,0,175.26,170.18,180.34,182.88,5.27,0.36,0.49,0.4,3.53,0.0,0.46,0.0,Orthodox,Orthodox,155,31,-2,5,3,1,1,3,5.079999999999984,-2.539999999999992,7,1.7399999999999998,0.02999999999999997,0.36,0.4,5,1,8.799999999999999,0.475,0.2857142857142857,0.5,0.14285714285714285,0.0,0.5714285714285714,0.5,2.4,2.5,-0.2142857142857143,0.14285714285714285,0.0714285714285714,-0.10000000000000009,8,1498.3535453189684,1529.358177514295,-31.00463219532662,1520.493855626073,1498.6745509408331,21.819304685239786,4.33,3.954347509996365,-0.22214285714285714,-0.07142857142857145,7.675875093492895,0.39285714285714285,0.07142857142857142,0.5357142857142857,27.5,1.0,0,2,3.3333333333333335,2.5,1.0,0.0,2.0,0.0,0.0,0.0,24,0.8333333333333335,-0.30000000000000004,1.0,0.7,1.0,0.0,2.0,155,24,5,130.0,-155.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Dustin Stoltzfus,Nursulton Ruziboev,Blue,Nursulton Ruziboev,Middleweight,MALE,DEC,No Finish,4,2,1,1,5,3,3,0,0,1,182.88,195.58,190.5,193.04,3.14,2.26,0.45,1.3,2.59,0.75,0.46,0.0,Orthodox,Orthodox,185,33,0,1,4,-1,1,1,-12.700000000000017,-2.539999999999992,2,0.5500000000000003,-0.010000000000000009,1.5099999999999998,1.3,5,1,5.73,0.455,0.5,1.0,0.25,0.0,0.25,0.0,2.0,1.75,-0.5,0.25,0.25,0.25,5,1478.3883076166396,1545.7231544235333,-67.33484680689367,1505.3841137609077,1517.6043549505423,-12.220241189634635,3.29,2.34,0.9500000000000002,-0.25,5.63,0.75,0.125,0.125,32.0,1.0,1,1,3.3333333333333335,5.0,2.0,2.0,1.0,0.0,0.0,1.0,31,-1.6666666666666665,-0.3055555555555556,0.75,0.4444444444444444,2.0,2.0,0.0,185,18,7,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Julian Erosa,Melquizael Costa,Blue,Melquizael Costa,Featherweight,MALE,DEC,No Finish,10,3,4,3,7,4,0,2,2,2,185.42,177.8,187.96,180.34,6.21,1.78,0.48,0.7,4.44,1.96,0.49,1.2,Southpaw,Southpaw,145,35,0,6,5,3,2,1,7.619999999999976,7.6200000000000045,7,1.7699999999999996,-0.010000000000000009,-0.17999999999999994,-0.5,5,1,10.65,0.485,0.3,0.0,0.4,0.5,0.3,0.5,1.9411764705882353,2.3333333333333335,0.3,-0.09999999999999998,-0.2,-0.3921568627450982,11,1552.1027712710904,1527.382321150444,24.72045012064632,1520.0968070307517,1521.4255259509794,-1.3287189202276295,6.35,2.53,3.82,0.19999999999999996,8.879999999999999,0.15,0.45,0.4,31.5,3.0,3,3,3.0,2.5,3.0,0.0,0.0,1.0,1.0,0.0,28,0.5,-0.07843137254901955,0.6666666666666666,0.5882352941176471,2.0,-1.0,0.0,145,33,14,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jared Gordon,Thiago Moises,Red,Jared Gordon,Lightweight,MALE,KO/TKO,Punch,8,2,0,6,6,9,2,3,4,6,175.26,175.26,172.72,177.8,5.67,1.83,0.55,0.0,2.48,1.31,0.42,1.1,Orthodox,Orthodox,155,36,-1,-1,0,0,-3,2,0.0,-5.0800000000000125,6,3.19,0.13000000000000006,0.52,-1.1,0,0,8.15,0.485,0.25,0.2222222222222222,0.0,0.3333333333333333,0.75,0.4444444444444444,2.5714285714285716,2.466666666666667,0.02777777777777779,-0.3333333333333333,0.3055555555555556,0.10476190476190483,-1,1545.7168787951991,1524.366493693645,21.35038510155414,1519.603672042183,1519.4557045388262,0.14796750335676734,3.4,4.4,-1.0000000000000004,-0.3055555555555556,7.800000000000001,0.2361111111111111,0.16666666666666666,0.5972222222222222,33.0,0.5,0,1,1.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,30,-2.0,-0.02857142857142858,0.6,0.5714285714285714,-2.0,0.0,0.0,155,36,37,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Yadier del Valle,Connor Matthews,Red,Yadier del Valle,Featherweight,MALE,SUB,Rear Naked Choke,1,0,0,1,0,1,0,0,1,3,175.26,172.72,175.26,180.34,7.49,2.51,0.67,1.7,4.82,3.24,0.43,0.7,Southpaw,Switch,145,28,1,0,-3,0,0,0,2.539999999999992,-5.0800000000000125,-4,2.67,0.24000000000000005,-0.7300000000000004,1.0,1,0,12.31,0.55,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.5,0.0,0.0,0.0,0.5,-3,1500.0,1459.3658300603674,40.63416993963256,1459.3658300603674,1489.0069411287693,-29.64111106840187,3.7387198849334777,5.57,-0.22214285714285714,0.0,7.675875093492895,0.0,0.0,1.0,30.0,0.5,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32,0.0,0.75,0.25,1.0,-2.0,0.0,0.0,145,3,10,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Luana Santos,Tainara Lisboa,Red,Luana Santos,Women's Bantamweight,FEMALE,SUB,Keylock,3,1,1,1,1,2,0,1,1,0,167.64,170.18,170.18,170.18,3.69,1.91,0.52,1.3,1.68,1.53,0.43,0.4,Orthodox,Orthodox,135,25,-2,1,1,1,0,0,-2.5400000000000205,0.0,-9,2.01,0.09000000000000002,0.3799999999999999,0.9,1,0,5.37,0.475,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.5,2.0,3.0,0.3333333333333333,-0.16666666666666669,-0.16666666666666669,-1.0,2,1529.2944096123938,1527.1866285492208,2.107781063172979,1508.3380576985417,1511.9539128293327,-3.615855130791033,6.52,1.4,5.119999999999999,0.16666666666666663,7.92,0.16666666666666666,0.41666666666666663,0.41666666666666663,29.5,1.0,0,2,3.3333333333333335,2.5,0.0,0.0,1.0,0.0,0.0,0.0,34,0.8333333333333335,-0.25,1.0,0.75,0.0,0.0,1.0,135,8,6,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Elise Reed,Denise Gomes,Blue,Denise Gomes,Women's Strawweight,FEMALE,KO/TKO,Punches,4,0,0,4,4,5,2,0,3,2,160.02,157.48,160.02,160.02,3.41,0.46,0.53,0.0,4.59,1.19,0.5,0.8,Orthodox,Orthodox,115,32,-1,-1,2,-2,0,1,2.5400000000000205,0.0,7,-1.1799999999999997,0.030000000000000027,-0.73,-0.8,3,1,8.0,0.515,0.0,0.4,0.0,0.0,1.0,0.6,2.5,2.5714285714285716,-0.4,0.0,0.4,-0.07142857142857162,1,1493.6822097950085,1536.7836524799197,-43.10144268491126,1502.7108376280105,1510.9813862079925,-8.270548579982005,3.06,3.66,-0.6000000000000001,-0.4,6.720000000000001,0.2,0.0,0.8,28.5,1.5,1,2,0.0,2.5,2.0,2.0,0.0,0.0,0.0,2.0,25,-2.5,-0.2142857142857143,0.7142857142857143,0.5,2.0,2.0,-2.0,115,20,18,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
HyunSung Park,Carlos Hernandez,Red,HyunSung Park,Flyweight,MALE,SUB,Rear Naked Choke,4,2,2,0,0,4,0,0,4,3,170.18,172.72,167.64,170.18,4.27,1.9,0.46,2.9,3.83,1.56,0.45,0.2,Orthodox,Orthodox,125,29,3,0,-3,2,2,-4,-2.539999999999992,-2.5400000000000205,-2,0.4399999999999995,0.010000000000000009,0.33999999999999986,2.6999999999999997,1,0,8.1,0.455,0.5,0.0,0.5,0.0,0.0,1.0,1.75,2.5714285714285716,0.5,0.5,-1.0,-0.8214285714285716,-3,1529.496135215824,1489.7287658003359,39.76736941548825,1483.216171449758,1509.451482349032,-26.235310899274054,2.62,4.41,-1.79,1.0,7.03,0.25,0.25,0.5,30.0,2.5,4,1,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,31,5.0,0.4285714285714286,0.5714285714285714,1.0,-1.0,-1.0,-1.0,125,7,18,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Tecia Pennington,Luana Pinheiro,Red,Tecia Pennington,Women's Strawweight,FEMALE,DEC,No Finish,10,1,1,8,7,4,1,0,2,3,154.94,157.48,152.4,157.48,4.78,0.54,0.48,0.1,3.29,2.33,0.39,0.2,Orthodox,Orthodox,115,35,1,6,4,0,1,6,-2.539999999999992,-5.079999999999984,3,1.4900000000000002,0.08999999999999997,-1.79,-0.1,2,0,8.07,0.435,0.1,0.25,0.1,0.0,0.8,0.5,2.823529411764706,2.2857142857142856,-0.15,0.1,0.30000000000000004,0.5378151260504205,10,1508.2309307679832,1487.2400367936038,20.990893974379333,1521.1138096767233,1501.4509823278333,19.662827348890005,3.7387198849334777,4.38,-0.22214285714285714,-0.04999999999999999,7.675875093492895,0.175,0.05,0.65,33.5,0.5,1,0,0.0,1.6666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,32,-1.6666666666666667,0.01680672268907568,0.5714285714285714,0.5882352941176471,-1.0,-1.0,0.0,115,48,16,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Belal Muhammad,Jack Della Maddalena,Blue,Jack Della Maddalena,Welterweight,MALE,DEC,No Finish,15,2,1,12,3,8,4,1,3,0,180.34,180.34,182.88,185.42,4.46,2.24,0.43,0.1,6.84,0.16,0.52,0.2,Orthodox,Switch,170,36,2,7,3,-2,0,9,0.0,-2.539999999999992,8,-2.38,-0.09000000000000002,2.08,-0.1,5,1,11.3,0.475,0.13333333333333333,0.5,0.06666666666666667,0.125,0.8,0.375,3.2777777777777777,2.0,-0.3666666666666667,-0.058333333333333334,0.42500000000000004,1.2777777777777777,10,1627.1204861647218,1589.5526117414977,37.56787442322411,1535.3970448719797,1542.5481497971978,-7.151104925218078,3.64,4.83,-1.19,-0.425,8.47,0.31666666666666665,0.09583333333333333,0.5875,32.0,9.0,10,8,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,28,-2.0,-0.16666666666666663,1.0,0.8333333333333334,0.0,0.0,0.0,170,59,16,-205.0,170.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Valentina Shevchenko,Manon Fiorot,Red,Valentina Shevchenko,Women's Flyweight,FEMALE,DEC,No Finish,13,4,2,7,3,7,2,0,5,0,165.1,170.18,167.64,165.1,3.14,2.62,0.52,0.3,5.58,1.06,0.41,0.0,Southpaw,Orthodox,125,37,-6,6,3,2,2,2,-5.0800000000000125,2.539999999999992,2,-2.44,0.11000000000000004,1.56,0.3,2,0,8.72,0.46499999999999997,0.3076923076923077,0.2857142857142857,0.15384615384615385,0.0,0.5384615384615384,0.7142857142857143,4.0625,3.0,0.02197802197802201,0.15384615384615385,-0.17582417582417587,1.0625,9,1594.81485348333,1606.4023954151103,-11.587541931780379,1539.7183401215145,1531.0610033749608,8.65733674655371,2.11,3.31,-1.2000000000000002,0.17582417582417587,5.42,0.2967032967032967,0.07692307692307693,0.6263736263736264,36.0,4.0,1,7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35,2.0,-0.1875,1.0,0.8125,0.0,1.0,0.0,125,65,21,110.0,-130.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jose Aldo,Aiemann Zahabi,Blue,Aiemann Zahabi,Featherweight,MALE,DEC,No Finish,22,11,0,11,8,6,2,0,4,2,170.18,172.72,177.8,172.72,3.65,0.47,0.46,0.1,4.42,0.14,0.46,0.0,Orthodox,Orthodox,135,38,-5,16,6,9,0,7,-2.539999999999992,5.0800000000000125,1,-0.77,0.0,0.32999999999999996,0.1,5,1,8.07,0.46,0.5,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666,3.1,2.5,0.16666666666666669,0.0,-0.16666666666666663,0.6000000000000001,22,1526.2040932242219,1579.205268420722,-53.00117519650007,1553.698463726987,1511.8985052116943,41.7999585152927,3.74,3.4,0.3400000000000003,0.16666666666666669,7.140000000000001,0.41666666666666663,0.0,0.5833333333333333,37.5,2.5,0,5,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,37,-2.0,-0.01666666666666672,0.75,0.7333333333333333,1.0,0.0,2.0,135,93,20,-180.0,150.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Alexa Grasso,Natalia Silva,Blue,Natalia Silva,Women's Flyweight,FEMALE,DEC,No Finish,8,0,2,6,4,6,2,0,4,0,165.1,162.56,167.64,165.1,4.11,0.41,0.41,0.6,5.04,0.34,0.46,0.0,Orthodox,Southpaw,125,31,-6,2,4,-2,2,2,2.539999999999992,2.539999999999992,3,-0.9299999999999997,-0.050000000000000044,0.06999999999999995,0.6,5,1,9.15,0.435,0.0,0.3333333333333333,0.25,0.0,0.75,0.6666666666666666,3.5,2.6666666666666665,-0.3333333333333333,0.25,0.08333333333333337,0.8333333333333335,6,1546.5408922929034,1589.8641817549842,-43.323289462080766,1541.9981908148497,1511.0105295178685,30.987661296981287,3.95,2.23,1.7200000000000002,-0.08333333333333331,6.18,0.16666666666666666,0.125,0.7083333333333333,29.5,3.0,0,6,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,28,0.0,-0.33333333333333337,1.0,0.6666666666666666,0.0,0.0,1.0,125,42,16,205.0,-250.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Mike Malott,Charles Radtke,Red,Mike Malott,Welterweight,MALE,KO/TKO,Punch,5,1,3,1,1,3,2,0,1,1,185.42,175.26,185.42,182.88,4.09,2.08,0.47,0.7,3.11,0.49,0.49,0.0,Orthodox,Orthodox,170,33,0,2,0,-1,3,0,10.159999999999997,2.539999999999992,-1,0.98,-0.020000000000000018,1.59,0.7,0,0,7.199999999999999,0.48,0.2,0.6666666666666666,0.6,0.0,0.2,0.3333333333333333,1.8333333333333333,1.5,-0.4666666666666666,0.6,-0.1333333333333333,0.33333333333333326,2,1535.3751672929698,1532.129561557822,3.2456057351478194,1505.957259932775,1507.7489010367688,-1.7916411039936975,3.07,2.93,0.13999999999999968,0.13333333333333341,6.0,0.43333333333333335,0.3,0.26666666666666666,33.5,1.0,1,1,3.75,3.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,34,0.4166666666666665,0.08333333333333337,0.75,0.8333333333333334,0.0,0.0,0.0,170,11,6,-220.0,180.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Jessica Andrade,Jasmine Jasudavicius,Blue,Jasmine Jasudavicius,Women's Flyweight,FEMALE,SUB,Rear Naked Choke,17,6,3,8,11,8,0,2,6,2,154.94,170.18,157.48,172.72,6.39,2.21,0.5,0.3,3.71,2.61,0.45,0.6,Orthodox,Orthodox,125,33,-4,9,9,6,1,2,-15.240000000000009,-15.240000000000009,-3,2.6799999999999997,0.04999999999999999,-0.3999999999999999,-0.3,4,1,10.1,0.475,0.35294117647058826,0.0,0.17647058823529413,0.25,0.47058823529411764,0.75,2.142857142857143,3.0,0.35294117647058826,-0.07352941176470587,-0.27941176470588236,-0.8571428571428572,18,1510.4960501866713,1566.3623787655456,-55.866328578874345,1533.358775223287,1512.4510289399507,20.907746283336337,5.36,4.41,0.9500000000000002,0.27941176470588236,9.77,0.17647058823529413,0.21323529411764708,0.6102941176470589,34.5,2.0,0,4,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,36,1.0,-0.19285714285714295,0.8,0.6071428571428571,2.0,2.0,0.0,125,60,30,240.0,-300.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Modestas Bukauskas,Ion Cutelaba,Red,Modestas Bukauskas,Light Heavyweight,MALE,DEC,No Finish,5,2,1,2,4,8,4,1,3,9,190.5,185.42,198.12,190.5,3.26,0.31,0.42,0.2,4.26,3.77,0.43,0.1,Switch,Southpaw,205,31,0,-3,-5,-2,0,-1,5.0800000000000125,7.6200000000000045,0,-1.0,-0.010000000000000009,-3.46,0.1,2,0,7.52,0.425,0.4,0.5,0.2,0.125,0.4,0.375,2.111111111111111,2.0,-0.09999999999999998,0.07500000000000001,0.025000000000000022,0.11111111111111116,-8,1514.8298725893953,1491.5874564403557,23.242416149039627,1498.870464641041,1512.4633970647583,-13.59293242371723,3.87,3.29,0.5800000000000001,-0.025000000000000022,7.16,0.45,0.1625,0.3875,31.0,2.0,2,2,3.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,31,0.0,0.08496732026143794,0.47058823529411764,0.5555555555555556,0.0,-2.0,0.0,205,19,34,-110.0,-110.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Marc-Andre Barriault,Bruno Silva,Red,Marc-Andre Barriault,Middleweight,MALE,KO/TKO,Elbows,5,2,1,2,8,4,4,0,0,6,185.42,182.88,187.96,187.96,6.02,0.21,0.47,0.1,3.86,0.77,0.48,0.0,Orthodox,Orthodox,185,35,0,1,2,-2,1,2,2.539999999999992,0.0,0,2.1599999999999997,-0.010000000000000009,-0.56,0.1,0,0,9.879999999999999,0.475,0.4,1.0,0.2,0.0,0.4,0.0,2.4615384615384617,2.2,-0.6,0.2,0.4,0.2615384615384615,3,1497.4942437698446,1496.4798732378706,1.0143705319740093,1506.887249303486,1506.2866269351987,0.6006223682873042,5.22,3.09,2.13,-0.4,8.309999999999999,0.7,0.1,0.2,35.0,0.0,0,0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,6.0,35,-2.0,-0.015384615384615385,0.4,0.38461538461538464,2.0,-2.0,-5.0,185,32,22,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Marc-Andre Barriault,Bruno Silva,Red,Marc-Andre Barriault,Middleweight,MALE,KO/TKO,Elbows,5,2,1,2,8,4,4,0,0,6,185.42,182.88,187.96,187.96,6.02,0.21,0.47,0.1,3.86,0.77,0.48,0.0,Orthodox,Orthodox,185,35,0,1,2,-2,1,2,2.539999999999992,0.0,0,2.1599999999999997,-0.010000000000000009,-0.56,0.1,0,0,9.879999999999999,0.475,0.4,1.0,0.2,0.0,0.4,0.0,2.4615384615384617,2.2,-0.6,0.2,0.4,0.2615384615384615,3,1497.4942437698446,1496.4798732378706,1.0143705319740093,1506.887249303486,1506.2866269351987,0.6006223682873042,5.22,5.33,-0.11000000000000032,-0.4,10.55,0.7,0.1,0.2,35.0,0.0,0,0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,6.0,35,-2.0,-0.015384615384615385,0.4,0.38461538461538464,2.0,-2.0,-5.0,185,32,22,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Daniel Santos,JeongYeong Lee,Red,Daniel Santos,Featherweight,MALE,DEC,No Finish,2,1,0,1,1,4,1,1,2,1,170.18,177.8,170.18,185.42,4.74,3.03,0.4,0.0,3.38,0.63,0.49,0.3,Orthodox,Orthodox,145,30,2,-2,0,0,-1,-1,-7.6200000000000045,-15.23999999999998,1,1.3600000000000003,-0.08999999999999997,2.4,-0.3,2,0,8.120000000000001,0.445,0.5,0.25,0.0,0.25,0.5,0.5,2.6666666666666665,1.8,0.25,-0.25,0.0,0.8666666666666665,-2,1521.3390189576646,1504.0466672758312,17.292351681833452,1504.0752777831515,1509.0020794907048,-4.926801707553295,5.12,1.84,3.2800000000000002,0.0,6.96,0.375,0.125,0.5,29.5,1.0,2,0,2.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29,2.5,-0.13333333333333341,0.8,0.6666666666666666,-1.0,0.0,1.0,145,8,9,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Cory Sandhagen,Deiveson Figueiredo,Red,Cory Sandhagen,Bantamweight,MALE,KO/TKO,No Finish,10,5,1,4,4,13,4,4,5,4,180.34,165.1,177.8,172.72,5.06,1.28,0.45,0.3,2.82,1.69,0.54,1.4,Switch,Orthodox,135,33,0,-3,0,1,-3,-1,15.240000000000009,5.0800000000000125,-4,2.2399999999999998,-0.09000000000000002,-0.4099999999999999,-1.0999999999999999,0,0,7.879999999999999,0.495,0.5,0.3076923076923077,0.1,0.3076923076923077,0.4,0.38461538461538464,3.142857142857143,2.8823529411764706,0.1923076923076923,-0.2076923076923077,0.015384615384615385,0.26050420168067223,-3,1547.0800685783845,1569.8122897151222,-22.732221136737735,1529.0642544072005,1526.153526108024,2.910728299176526,3.4,3.46,-0.06000000000000005,-0.015384615384615441,6.859999999999999,0.40384615384615385,0.20384615384615384,0.39230769230769236,35.0,0.0,0,0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,37,1.0,-0.05042016806722682,0.7647058823529411,0.7142857142857143,-1.0,0.0,2.0,135,44,49,-500.0,380.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Reinier de Ridder,Bo Nickal,Red,Reinier de Ridder,Middleweight,MALE,KO/TKO,Knee,2,0,2,0,0,6,1,4,1,0,193.04,185.42,198.12,193.04,3.25,4.74,0.6,1.4,2.36,3.34,0.59,2.9,Southpaw,Southpaw,185,34,-4,-4,0,-1,-2,-1,7.6200000000000045,5.0800000000000125,5,0.8900000000000001,0.010000000000000009,1.4000000000000004,-1.5,0,0,5.609999999999999,0.595,0.0,0.16666666666666666,1.0,0.6666666666666666,0.0,0.16666666666666666,2.0,1.5,-0.16666666666666666,0.33333333333333337,-0.16666666666666666,0.5,-4,1525.8469053703272,1555.7256836527004,-29.878778282373105,1530.7086196563644,1500.8005550086773,29.90806464768707,3.7387198849334777,0.55,-0.22214285714285714,0.16666666666666663,7.675875093492895,0.08333333333333333,0.8333333333333333,0.08333333333333333,31.5,4.0,2,6,5.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,29,1.25,0.0,1.0,1.0,0.0,0.0,0.0,185,4,9,340.0,-440.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Santiago Ponzinibbio,Daniel Rodriguez,Blue,Daniel Rodriguez,Welterweight,MALE,KO/TKO,Punch,12,7,0,5,7,9,2,1,6,4,182.88,185.42,185.42,187.96,4.78,0.6,0.41,0.0,7.39,0.55,0.48,0.1,Orthodox,Southpaw,170,38,0,3,3,5,-1,-1,-2.539999999999992,-2.5400000000000205,0,-2.6099999999999994,-0.07,0.04999999999999993,-0.1,3,1,12.17,0.44499999999999995,0.5833333333333334,0.2222222222222222,0.0,0.1111111111111111,0.4166666666666667,0.6666666666666666,2.473684210526316,2.4615384615384617,0.36111111111111116,-0.1111111111111111,-0.24999999999999994,0.012145748987854255,6,1498.5480484494792,1535.77662252656,-37.22857407708079,1526.0119913609217,1505.281517821505,20.730473539416607,4.67,5.28,-0.6100000000000003,0.25000000000000006,9.95,0.4027777777777778,0.05555555555555555,0.5416666666666666,38.0,1.0,1,1,3.3333333333333335,1.0,2.0,0.0,3.0,1.0,1.0,2.0,38,2.3333333333333335,-0.06072874493927127,0.6923076923076923,0.631578947368421,1.0,-1.0,1.0,170,47,32,-155.0,130.0,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
