RedFighter,BlueFighter,Winner,WinnerName,WeightClass,Gender,Finish,FinishDetails,RedWins,RedWinsByKO,RedWinsBySubmission,RedWinsByDecision,RedLosses,BlueWins,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByDecision,BlueLosses,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAvgSigStrLanded,RedAvgTDLanded,RedAvgSigStrPct,RedAvgSubAtt,BlueAvgSigStrLanded,BlueAvgTDLanded,BlueAvgSigStrPct,BlueAvgSubAtt,RedStance,BlueStance,RedWeightLbs,RedAge,WinStreakDif,WinDif,LossDiff,KODif,SubDif,DecDif,HeightDif,ReachDif,AgeDif,SigStrDif,StrPctDif,TDDif,SubAttDif,categorical_outcome,winner_number,StrikeTotal,StrikeAccuracyAvg,RedKoPct,BlueKoPct,RedSubPct,BlueSubPct,RedDecPct,BlueDecPct,RedAvgRounds,BlueAvgRounds,KoPctDif,SubPctDif,DecPctDif,AvgRoundsDif,ExperienceDif,RedElo,BlueElo,EloDif,RedOpponentElo,BlueOpponentElo,OpponentEloDif,RedSigStrAbsorbed,BlueSigStrAbsorbed,SigStrAbsorbedDif,FinishPctDif,TotalSigStrAbsorbed,AvgKoPct,AvgSubPct,AvgDecPct,AvgAge,AvgWinStreak,RedCurrentWinStreak,BlueCurrentWinStreak,RedFinishL5,BlueFinishL5,RedLossesByKO,RedLossesBySub,RedLossesByDec,BlueLossesByKO,BlueLossesBySub,BlueLossesByDec,BlueAge,FinishL5Dif,WinPctDif,BlueWinPct,RedWinPct,LossesByKODif,LossesBySubDif,LossesByDecDif,BlueWeightLbs,RedTotalRoundsFought,BlueTotalRoundsFought,RedOdds,BlueOdds,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds
Youssef Zalal,Jarno Errens,Red,Youssef Zalal,Featherweight,MALE,SUB,Rear Naked Choke,4,0,1,3,3,1,0,0,1,2,177.8,180.34,182.88,185.42,2.87,2.33,0.49,1.4,3.29,0.0,0.44,0.3,Switch,Orthodox,145,27,0,3,1,0,1,2,-2.539999999999992,-2.539999999999992,-2,-0.41999999999999993,0.04999999999999999,2.33,1.0999999999999999,1,0,6.16,0.46499999999999997,0.0,0.0,0.25,0.0,0.75,1.0,3.2857142857142856,3.0,0.0,0.25,-0.25,0.2857142857142856,4,1499.228186254599,1486.598776627626,12.629409626973029,1501.0958629537897,1497.9133194429746,3.182543510815094,1.75,2.93,-1.1800000000000002,0.25,4.68,0.0,0.125,0.875,28.0,1.0,1,1,3.3333333333333335,0.0,0.0,0.0,3.0,0.0,0.0,2.0,29,3.3333333333333335,0.23809523809523808,0.3333333333333333,0.5714285714285714,0.0,0.0,1.0,145,23,9,-107.6150253016738,41.43684415079674,323.8740425531915,425.1650193382037,952.8372390285471,1148.9118658641444,504.12217965091526,613.8688736027515
Cory Sandhagen,Umar Nurmagomedov,Blue,Umar Nurmagomedov,Bantamweight,MALE,DEC,No Finish,10,5,1,4,3,5,1,2,2,0,180.34,172.72,177.8,175.26,5.02,1.19,0.44,0.3,4.46,3.98,0.63,0.4,Switch,Orthodox,135,32,-2,5,3,4,-1,2,7.6200000000000045,2.5400000000000205,4,0.5599999999999996,-0.19,-2.79,-0.10000000000000003,5,1,9.48,0.535,0.5,0.2,0.1,0.4,0.4,0.4,3.0,2.0,0.3,-0.30000000000000004,0.0,1.0,8,1561.6421893206307,1571.787394209196,-10.145204888565331,1524.9894508764082,1523.555021014814,1.4344298615942535,3.4,0.73,2.67,0.0,4.13,0.35,0.25,0.4,30.0,4.0,3,5,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,28,0.0,-0.23076923076923073,1.0,0.7692307692307693,0.0,1.0,2.0,135,39,10,280.0,-395.0,650.0,110.0,1800.0,250.0,750.0,600.0
Shara Magomedov,Michal Oleksiejczuk,Red,Shara Magomedov,Middleweight,MALE,DEC,No Finish,2,1,0,1,0,7,6,0,1,6,187.96,182.88,185.42,187.96,6.82,0.0,0.65,0.0,5.08,1.08,0.5,0.0,Orthodox,Southpaw,185,30,2,-5,-6,-5,0,0,5.0800000000000125,-2.5400000000000205,1,1.7400000000000002,0.15000000000000002,-1.08,0.0,2,0,11.9,0.575,0.5,0.8571428571428571,0.0,0.0,0.5,0.14285714285714285,3.0,1.6923076923076923,-0.3571428571428571,0.0,0.35714285714285715,1.3076923076923077,-11,1535.9912433995041,1515.2674073667067,20.723836032797408,1520.3652807948808,1517.4811169064849,2.8841638883959604,4.33,4.17,0.16000000000000014,-0.3571428571428571,8.5,0.6785714285714286,0.0,0.3214285714285714,29.5,1.0,2,0,2.5,4.0,0.0,0.0,0.0,0.0,4.0,1.0,29,-1.5,0.46153846153846156,0.5384615384615384,1.0,0.0,-4.0,-1.0,185,6,22,-345.0,250.0,323.8740425531915,550.0,952.8372390285471,2000.0,504.12217965091526,475.0
Marlon Vera,Deiveson Figueiredo,Blue,Deiveson Figueiredo,Bantamweight,MALE,DEC,No Finish,15,7,4,4,8,12,4,4,4,3,172.72,165.1,177.8,172.72,4.27,0.51,0.49,0.8,3.01,1.68,0.55,1.6,Switch,Orthodox,135,31,-2,3,5,3,0,0,7.6200000000000045,5.0800000000000125,-5,1.2599999999999998,-0.06000000000000005,-1.17,-0.8,5,1,7.279999999999999,0.52,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,2.869565217391304,2.7333333333333334,0.13333333333333336,-0.06666666666666665,-0.06666666666666665,0.13623188405797082,8,1569.489731998222,1573.207593077086,-3.7178610788639617,1523.2247431522128,1525.5444796488928,-2.3197364966799796,5.16,3.46,1.7000000000000002,0.06666666666666665,8.620000000000001,0.4,0.3,0.3,33.5,1.0,0,2,2.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,36,-1.0,-0.14782608695652177,0.8,0.6521739130434783,-1.0,-1.0,4.0,135,66,41,124.0,-148.0,300.0,-110.0,1100.0,1100.0,350.0,1800.0
Tony Ferguson,Michael Chiesa,Blue,Michael Chiesa,Welterweight,MALE,SUB,Rear Naked Choke,15,5,6,4,8,11,0,6,5,7,180.34,185.42,193.04,190.5,4.91,0.39,0.45,0.9,1.86,3.35,0.4,1.0,Orthodox,Southpaw,170,40,0,4,1,5,0,-1,-5.079999999999984,2.539999999999992,4,3.05,0.04999999999999999,-2.96,-0.09999999999999998,4,1,6.7700000000000005,0.42500000000000004,0.3333333333333333,0.0,0.4,0.5454545454545454,0.26666666666666666,0.45454545454545453,2.5217391304347827,2.2222222222222223,0.3333333333333333,-0.1454545454545454,-0.18787878787878787,0.2995169082125604,5,1407.4976150829953,1494.276679375561,-86.77906429256564,1512.3945450695833,1514.6306261452003,-2.236081075616994,4.26,1.7,2.5599999999999996,0.18787878787878787,5.96,0.16666666666666666,0.4727272727272727,0.3606060606060606,38.0,0.0,0,0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,36,0.0,0.04106280193236711,0.6111111111111112,0.6521739130434783,2.0,0.0,2.0,170,58,40,360.0,-540.0,1000.0,140.0,900.0,120.0,1800.0,900.0
Mackenzie Dern,Loopy Godinez,Red,Mackenzie Dern,Women's Strawweight,FEMALE,DEC,No Finish,8,0,4,4,5,7,0,2,5,4,162.56,157.48,160.02,154.94,3.43,0.88,0.39,1.2,4.16,2.95,0.48,1.0,Orthodox,Orthodox,115,31,0,1,1,0,2,-1,5.0800000000000125,5.0800000000000125,1,-0.73,-0.08999999999999997,-2.0700000000000003,0.19999999999999996,2,0,7.59,0.435,0.0,0.0,0.5,0.2857142857142857,0.5,0.7142857142857143,2.769230769230769,2.727272727272727,0.0,0.2142857142857143,-0.2142857142857143,0.04195804195804209,2,1499.0724170466763,1531.9536421364264,-32.88122508975016,1516.9937869507946,1503.0823254134348,13.911461537359855,4.21,3.76,0.4500000000000002,0.2142857142857143,7.97,0.0,0.39285714285714285,0.6071428571428572,30.5,0.0,0,0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,30,1.0,-0.020979020979020935,0.6363636363636364,0.6153846153846154,1.0,0.0,-1.0,115,36,30,-140.0,110.0,240.0,120.0,275.0,2200.0,1100.0,1400.0
Joel Alvarez,Elves Brener,Red,Joel Alvarez,Lightweight,MALE,KO/TKO,Knees,5,2,3,0,2,3,2,0,1,1,190.5,177.8,195.58,182.88,4.39,0.0,0.52,1.2,3.99,1.23,0.47,0.0,Orthodox,Orthodox,155,31,1,2,1,0,3,-1,12.699999999999989,12.700000000000017,5,0.39999999999999947,0.050000000000000044,-1.23,1.2,0,0,8.379999999999999,0.495,0.4,0.6666666666666666,0.6,0.0,0.0,0.3333333333333333,1.7142857142857142,2.5,-0.2666666666666666,0.6,-0.3333333333333333,-0.7857142857142858,3,1536.0373659585125,1531.9015876429332,4.135778315579273,1516.474160259155,1514.9486948757294,1.525465383425626,3.37,5.05,-1.6799999999999997,0.33333333333333337,8.42,0.5333333333333333,0.3,0.16666666666666666,28.5,0.5,1,0,5.0,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,26,1.6666666666666665,-0.0357142857142857,0.75,0.7142857142857143,1.0,0.0,-1.0,155,12,10,-166.0,130.0,450.0,350.0,240.0,800.0,300.0,450.0
Azamat Murzakanov,Alonzo Menifield,Red,Azamat Murzakanov,Light Heavyweight,MALE,KO/TKO,Punches,4,3,0,1,0,10,6,2,2,4,177.8,182.88,180.34,193.04,4.72,0.62,0.56,0.0,3.77,0.63,0.54,0.2,Southpaw,Orthodox,205,35,4,-6,-4,-3,-2,-1,-5.079999999999984,-12.699999999999989,-1,0.9499999999999997,0.020000000000000018,-0.010000000000000009,-0.2,0,0,8.49,0.55,0.75,0.6,0.0,0.2,0.25,0.2,2.5,1.9285714285714286,0.15000000000000002,-0.2,0.04999999999999999,0.5714285714285714,-10,1557.0879712906503,1543.2988068176917,13.789164472958646,1537.8527632658258,1516.4053897859028,21.447373479923044,3.12,3.09,0.03000000000000025,-0.050000000000000044,6.21,0.675,0.1,0.225,35.5,2.0,4,0,3.3333333333333335,3.0,0.0,0.0,0.0,2.0,0.0,2.0,36,0.3333333333333335,0.2857142857142857,0.7142857142857143,1.0,-2.0,0.0,-2.0,205,10,27,-298.0,240.0,275.0,550.0,1200.0,1000.0,110.0,500.0
Shamil Gaziev,Don'Tale Mayes,Red,Shamil Gaziev,Heavyweight,MALE,DEC,No Finish,2,1,1,0,1,6,4,0,2,5,193.04,198.12,198.12,205.74,2.43,1.03,0.49,0.3,3.51,0.65,0.43,0.0,Orthodox,Orthodox,265,34,-1,-4,-4,-3,1,-2,-5.0800000000000125,-7.6200000000000045,2,-1.0799999999999996,0.06,0.38,0.3,2,0,5.9399999999999995,0.45999999999999996,0.5,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,2.3333333333333335,2.8181818181818183,-0.16666666666666663,0.5,-0.3333333333333333,-0.48484848484848486,-8,1501.4814241057297,1526.543695606073,-25.062271500343286,1525.0976890597574,1502.4116210521804,22.686068007576978,0.0,3.84,-3.84,0.33333333333333337,3.84,0.5833333333333333,0.25,0.16666666666666666,33.0,0.5,0,1,5.0,2.5,1.0,0.0,0.0,0.0,1.0,2.0,32,2.5,0.12121212121212122,0.5454545454545454,0.6666666666666666,1.0,-1.0,-2.0,260,7,31,-1450.0,750.0,300.0,550.0,400.0,2200.0,130.0,550.0
Viktoriia Dudakova,Sam Hughes,Blue,Sam Hughes,Women's Strawweight,FEMALE,DEC,No Finish,3,1,0,2,0,3,1,0,2,5,165.1,165.1,170.18,162.56,3.45,2.63,0.48,0.0,4.33,0.85,0.46,0.0,Orthodox,Orthodox,115,25,3,0,-5,0,0,0,0.0,7.6200000000000045,-7,-0.8799999999999999,0.019999999999999962,1.7799999999999998,0.0,5,1,7.78,0.47,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.75,0.0,0.0,0.0,-0.4166666666666665,-5,1529.996163731563,1476.5280837583734,53.46807997318956,1463.9588173175034,1506.4310465565313,-42.47222923902791,2.45,4.23,-1.7800000000000002,0.0,6.680000000000001,0.3333333333333333,0.0,0.6666666666666666,28.5,1.5,3,0,2.5,3.3333333333333335,0.0,0.0,0.0,1.0,0.0,4.0,32,-0.8333333333333335,0.625,0.375,1.0,-1.0,0.0,-4.0,115,7,22,-230.0,175.0,-115.0,200.0,650.0,1400.0,1600.0,1200.0
